"","seqnames","start","end","width","strand","idr_name","scaled_idr","idr_strand","local_idr","global_idr","rep1_chromstart","rep1_chromend","rep1_signal","rep2_chromstart","rep2_chromend","rep2_signal","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","ens_transcript",".","distanceToTSS","ens_genes"
"120","chr10",128547655,128547945,291,"*",".",605,".",1.05,1.46,128547734,128547884,54.93646,128547654,128547945,32.67071,"Promoter",10,128541963,128547774,5812,2,"103284","ENSMUST00000040572","9",0,"ENSMUSG00000039810"
"121","chr15",98567511,98567956,446,"*",".",830,".",1.91,2,98567679,98567949,32.61307,98567510,98567956,46.40533,"Promoter",15,98543211,98567636,24426,2,"12455","ENSMUST00000012104","6",0,"ENSMUSG00000011960"
"122","chr12",108179346,108179853,508,"*",".",785,".",1.74,1.89,108179363,108179826,32.50599,108179345,108179853,36.00135,"Promoter",12,108179579,108203357,23779,1,"12454","ENSMUST00000221167","1",0,"ENSMUSG00000021258"
"123","chr4",94556729,94556890,162,"*",".",641,".",1.18,1.54,94556729,94556887,48.15969,94556728,94556890,32.35819,"Promoter",4,94500081,94556796,56716,2,"67770","ENSMUST00000030313","8",0,"ENSMUSG00000028578"
"124","chr10",23349642,23350574,933,"*",".",823,".",1.87,1.98,23349838,23350212,32.19377,23349641,23350574,42.60351,"Promoter",10,23102963,23349903,246941,2,"14051","ENSMUST00000092665","11",0,"ENSMUSG00000010461"
"125","chr13",77135444,77135571,128,"*",".",832,".",1.91,2,77135456,77135564,32.19377,77135443,77135571,47.99916,"Promoter",13,77043088,77135473,92386,2,"105377","ENSMUST00000151524","8",0,"ENSMUSG00000021597"
"126","chr4",117682211,117682397,187,"*",".",833,".",1.92,2.01,117682210,117682392,32.19377,117682210,117682397,52.16317,"Promoter",4,117674681,117682253,7573,2,"66233","ENSMUST00000135582","7",0,"ENSMUSG00000009640"
"127","chr9",73113358,73113498,141,"*",".",732,".",1.52,1.76,73113369,73113494,35.76313,73113357,73113498,32.18621,"Promoter",9,73113426,73122712,9287,1,"225215","ENSMUST00000169399","7",0,"ENSMUSG00000032215"
"128","chr15",86214289,86214478,190,"*",".",829,".",1.91,2,86214288,86214478,32.11169,86214322,86214469,58.83446,"Promoter",15,86214459,86498503,284045,1,"223754","ENSMUST00000063414","8",0,"ENSMUSG00000051864"
"129","chr14",31251357,31251532,176,"*",".",757,".",1.62,1.83,31251380,31251532,32.00959,31251356,31251525,33.10268,"Promoter",14,31251450,31259944,8495,1,"104416","ENSMUST00000022458","10",0,"ENSMUSG00000021901"
"130","chr9",44965512,44965784,273,"*",".",679,".",1.31,1.64,44965543,44965784,42.01414,44965511,44965767,31.90937,"Promoter",9,44923127,44965578,42452,2,"140630","ENSMUST00000117506","8",0,"ENSMUSG00000059890"
"131","chr10",128805449,128805643,195,"*",".",762,".",1.63,1.84,128805476,128805612,31.82425,128805448,128805643,33.4436,"Promoter",10,128805554,128819259,13706,1,"74330","ENSMUST00000217745","1",0,"ENSMUSG00000025354"
"132","chr12",17348346,17348500,155,"*",".",743,".",1.57,1.79,17348345,17348481,31.82425,17348385,17348500,31.92147,"Promoter",12,17348458,17430095,81638,1,"217431","ENSMUST00000046011","11",0,"ENSMUSG00000061458"
"133","chr14",30479435,30479671,237,"*",".",771,".",1.68,1.86,30479483,30479668,31.82425,30479434,30479671,34.56402,"Promoter",14,30479535,30510494,30960,1,"75901","ENSMUST00000224453","1",0,"ENSMUSG00000021962"
"134","chr17",47688016,47688182,167,"*",".",828,".",1.9,2,47688026,47688156,31.82425,47688015,47688182,48.03513,"Promoter",17,47686740,47688068,1329,2,"66119","ENSMUST00000113301","1",0,"ENSMUSG00000033475"
"135","chr4",132638948,132639096,149,"*",".",761,".",1.63,1.83,132638982,132639096,31.82425,132638947,132639096,33.4436,"Promoter",4,132638987,132694883,55897,1,"14050","ENSMUST00000135299","7",0,"ENSMUSG00000028886"
"136","chr15",76904000,76904277,278,"*",".",712,".",1.46,1.72,76903999,76904270,36.27111,76904004,76904277,31.5194,"Promoter",15,76904078,76906314,2237,1,"26961","ENSMUST00000004072","9",0,"ENSMUSG00000003970"
"137","chr19",3282821,3283093,273,"*",".",714,".",1.46,1.72,3282866,3283084,35.76313,3282820,3283093,31.28209,"Promoter",19,3259076,3283017,23942,2,"20589","ENSMUST00000025751","10",0,"ENSMUSG00000024831"
"138","chr1",75521421,75521945,525,"*",".",767,".",1.66,1.85,75521420,75521706,31.01181,75521435,75521945,33.91588,"Promoter",1,75521529,75537335,15807,1,"71728","ENSMUST00000027414","15",0,"ENSMUSG00000026213"
"139","chr16",11203254,11203412,159,"*",".",813,".",1.84,1.96,11203281,11203412,31.01181,11203253,11203408,40.98407,"Promoter",16,11192970,11203331,10362,2,"66409","ENSMUST00000119953","1",0,"ENSMUSG00000005846"
"140","chr13",74208626,74208764,139,"*",".",828,".",1.9,1.99,74208625,74208756,30.80263,74208636,74208764,51.12898,"Promoter",13,74169488,74208709,39222,2,"211446","ENSMUST00000035934","6",0,"ENSMUSG00000034152"
"141","chr14",52197139,52197473,335,"*",".",783,".",1.73,1.89,52197168,52197433,30.8003,52197138,52197473,35.35434,"Promoter",14,52160414,52197416,37003,2,"114741","ENSMUST00000046709","8",0,"ENSMUSG00000035726"
"142","chr3",122274247,122274431,185,"*",".",699,".",1.41,1.68,122274265,122274393,36.0824,122274246,122274431,30.66947,"Promoter",3,122274388,122285271,10884,1,"99480","ENSMUST00000035776","9",0,"ENSMUSG00000039756"
"143","chr2",132247749,132247892,144,"*",".",716,".",1.47,1.73,132247757,132247890,33.12545,132247748,132247892,30.63726,"Promoter",2,132239492,132247769,8278,2,"70612","ENSMUST00000110163","7",0,"ENSMUSG00000027341"
"144","chr2",174076162,174076361,200,"*",".",696,".",1.39,1.68,174076224,174076361,35.76313,174076161,174076350,30.63726,"Promoter",2,174076308,174092433,16126,1,"228960","ENSMUST00000155000","7",0,"ENSMUSG00000027522"
"145","chr13",51651499,51651863,365,"*",".",770,".",1.68,1.86,51651614,51651863,30.53525,51651498,51651848,34.53811,"Promoter",13,51651697,51684044,32348,1,"75420","ENSMUST00000040117","14",0,"ENSMUSG00000035139"
"146","chr16",32003111,32003285,175,"*",".",762,".",1.63,1.84,32003121,32003285,30.53525,32003110,32003246,32.9497,"Promoter",16,31962506,32003163,40658,2,"320213","ENSMUST00000023457","12",0,"ENSMUSG00000022772"
"147","chr2",32534974,32535493,520,"*",".",811,".",1.83,1.95,32535052,32535427,30.53525,32534973,32535493,41.23689,"Promoter",2,32535332,32569750,34419,1,"98952","ENSMUST00000136816","7",0,"ENSMUSG00000039157"
"148","chr2",166793653,166793835,183,"*",".",821,".",1.86,1.98,166793657,166793817,30.53525,166793652,166793835,63.62008,"Promoter",2,166793767,166799505,5739,1,"76367","ENSMUST00000151826","1",0,"ENSMUSG00000042854"
"149","chr7",127195939,127196166,228,"*",".",819,".",1.85,1.97,127195944,127196166,30.53525,127195938,127196145,42.15969,"Promoter",7,127191660,127196000,4341,2,"70233","ENSMUST00000166791","7",0,"ENSMUSG00000042502"
"150","chr14",73524867,73525071,205,"*",".",721,".",1.49,1.74,73524922,73525066,30.53525,73524866,73525071,30.2155,"Promoter",14,73521061,73525211,4151,2,"214254","ENSMUST00000226903","1",140,"ENSMUSG00000033405"
"151","chr13",23423790,23423994,205,"*",".",815,".",1.84,1.96,23423831,23423961,29.8408,23423789,23423994,41.23689,"Promoter",13,23418361,23423866,5506,2,"30946","ENSMUST00000041782","3",0,"ENSMUSG00000036376"
"152","chr11",101442155,101442452,298,"*",".",820,".",1.85,1.97,101442186,101442416,29.82542,101442154,101442452,42.58948,"Promoter",11,101442298,101445529,3232,1,"19942","ENSMUST00000077856","12",0,"ENSMUSG00000063316"
"153","chr11",87086729,87086886,158,"*",".",801,".",1.79,1.93,87086752,87086870,29.77043,87086728,87086886,37.69499,"Promoter",11,87077732,87086774,9043,2,"74133","ENSMUST00000020801","13",0,"ENSMUSG00000020495"
"154","chr12",28635882,28636083,202,"*",".",699,".",1.41,1.69,28635895,28636083,34.43851,28635881,28636069,29.71604,"Promoter",12,28630854,28635953,5100,2,"20115","ENSMUST00000074267","4",0,"ENSMUSG00000061477"
"155","chr18",30272655,30272932,278,"*",".",820,".",1.85,1.98,30272697,30272932,29.71406,30272654,30272926,42.8539,"Promoter",18,30272747,30348126,75380,1,"225326","ENSMUST00000115812","9",0,"ENSMUSG00000033628"
"156","chr6",125008780,125009293,514,"*",".",702,".",1.43,1.69,125008792,125009259,30.53525,125008779,125009293,29.39715,"Promoter",6,125009145,125036180,27036,1,"269800","ENSMUST00000132863","7",0,"ENSMUSG00000038346"
"157","chr3",88579545,88579672,128,"*",".",540,".",0.78,1.3,88579544,88579672,52.04125,88579555,88579671,29.29922,"Promoter",3,88579608,88588419,8812,1,"66256","ENSMUST00000195014","5",0,"ENSMUSG00000041355"
"158","chr11",60454383,60454641,259,"*",".",821,".",1.86,1.98,60454495,60454613,29.25881,60454382,60454641,44.29564,"Promoter",11,60454591,60461853,7263,1,"13495","ENSMUST00000138713","7",0,"ENSMUSG00000020537"
"159","chr3",79591172,79591410,239,"*",".",748,".",1.58,1.8,79591283,79591410,29.25881,79591171,79591403,31.30377,"Promoter",3,79591342,79603276,11935,1,"67738","ENSMUST00000161460","7",0,"ENSMUSG00000027804"
"160","chr1",37430002,37430272,271,"*",".",663,".",1.26,1.6,37430063,37430221,37.026,37430001,37430272,29.15863,"Promoter",1,37430139,37438984,8846,1,"67387","ENSMUST00000114925","9",0,"ENSMUSG00000026111"
"161","chr3",57651666,57651801,136,"*",".",703,".",1.43,1.69,57651668,57651787,29.65791,57651665,57651801,29.15863,"Promoter",3,57644349,57651715,7367,2,"52245","ENSMUST00000160959","7",0,"ENSMUSG00000036513"
"162","chr14",76110767,76111095,329,"*",".",812,".",1.84,1.96,76110791,76110956,29.07261,76110766,76111095,42.28538,"Promoter",14,76110891,76137379,26489,1,"27275","ENSMUST00000022586","1",0,"ENSMUSG00000022009"
"163","chr11",117986773,117986932,160,"*",".",764,".",1.64,1.84,117986811,117986932,28.92277,117986772,117986903,32.9497,"Promoter",11,117986885,118024011,37127,1,"74451","ENSMUST00000017859","9",0,"ENSMUSG00000017715"
"164","chr10",94198901,94199064,164,"*",".",797,".",1.78,1.92,94198914,94199038,28.68103,94198900,94199064,37.5218,"Promoter",10,94198955,94221443,22489,1,"66414","ENSMUST00000020209","15",0,"ENSMUSG00000020022"
"165","chr19",53390555,53390861,307,"*",".",812,".",1.84,1.96,53390554,53390846,28.68103,53390623,53390861,54.98075,"Promoter",19,53379396,53390578,11183,2,"76479","ENSMUST00000025997","6",0,"ENSMUSG00000025024"
"166","chr11",102156314,102156499,186,"*",".",816,".",1.84,1.97,102156313,102156483,28.63568,102156314,102156499,42.91957,"Promoter",11,102152546,102156404,3859,2,"76547","ENSMUST00000021296","6",0,"ENSMUSG00000020921"
"167","chr4",32656893,32657180,288,"*",".",810,".",1.83,1.95,32657021,32657172,28.63568,32656892,32657180,42.57069,"Promoter",4,32657119,32775207,118089,1,"100019","ENSMUST00000071642","10",0,"ENSMUSG00000058006"
"168","chr5",76529160,76529376,217,"*",".",817,".",1.84,1.97,76529194,76529361,28.63568,76529159,76529376,50.76669,"Promoter",5,76529311,76570294,40984,1,"69940","ENSMUST00000087133","10",0,"ENSMUSG00000036435"
"169","chr11",5788363,5788548,186,"*",".",804,".",1.81,1.94,5788362,5788533,28.57885,5788385,5788548,40.12437,"Promoter",11,5788488,5800629,12142,1,"13169","ENSMUST00000109845","7",0,"ENSMUSG00000020476"
"170","chr12",81594803,81595150,348,"*",".",796,".",1.78,1.92,81594970,81595122,28.57704,81594802,81595150,63.62008,"Promoter",12,81573557,81595006,21450,2,"69792","ENSMUST00000161211","7",0,"ENSMUSG00000002679"
"171","chr15",76327155,76327485,331,"*",".",814,".",1.84,1.96,76327264,76327475,28.57704,76327154,76327485,51.29227,"Promoter",15,76327397,76330677,3281,1,"109075","ENSMUST00000059045","7",0,"ENSMUSG00000034259"
"172","chr19",6077151,6077336,186,"*",".",804,".",1.81,1.94,6077197,6077326,28.54334,6077150,6077336,40.12437,"Promoter",19,6067842,6077231,9390,2,"68505","ENSMUST00000025711","12",0,"ENSMUSG00000024797"
"173","chr2",158028368,158028526,159,"*",".",613,".",1.07,1.48,158028367,158028526,41.17134,158028371,158028503,28.47508,"Promoter",2,158028497,158078207,49711,1,"70470","ENSMUST00000103123","9",0,"ENSMUSG00000027651"
"174","chr16",15863331,15863515,185,"*",".",738,".",1.54,1.78,15863397,15863508,28.42834,15863330,15863515,30.63726,"Promoter",16,15848441,15863347,14907,2,"72083","ENSMUST00000023351","10",0,"ENSMUSG00000022671"
"175","chr1",165236859,165237131,273,"*",".",675,".",1.3,1.63,165236923,165237102,33.12545,165236858,165237131,28.36758,"Promoter",1,165212286,165236943,24658,2,"226591","ENSMUST00000043235","7",0,"ENSMUSG00000040843"
"176","chr2",129129535,129129819,285,"*",".",690,".",1.37,1.66,129129557,129129806,29.25881,129129534,129129819,28.31051,"Promoter",2,129129700,129134134,4435,1,"66170","ENSMUST00000035481","4",0,"ENSMUSG00000037938"
"177","chr9",20644702,20644953,252,"*",".",635,".",1.17,1.53,20644736,20644953,37.09899,20644701,20644873,28.31051,"Promoter",9,20618230,20644747,26518,2,"30843","ENSMUST00000155280","7",0,"ENSMUSG00000066892"
"178","chr11",116843417,116843658,242,"*",".",784,".",1.73,1.89,116843422,116843611,28.14886,116843416,116843658,35.38551,"Promoter",11,116837432,116843449,6018,2,"107817","ENSMUST00000047616","9",0,"ENSMUSG00000056962"
"179","chr15",101995438,101995822,385,"*",".",664,".",1.27,1.6,101995470,101995730,33.08684,101995437,101995822,28.11169,"Distal Intergenic",15,101996698,102004482,7785,2,"16691","ENSMUST00000023952","9",8660,"ENSMUSG00000049382"
"180","chr7",44553910,44554099,190,"*",".",659,".",1.25,1.59,44553909,44554084,33.38642,44553917,44554099,28.11169,"Promoter",7,44549616,44553949,4334,2,"22260","ENSMUST00000073488","11",0,"ENSMUSG00000060601"
"181","chr1",133610195,133610430,236,"*",".",753,".",1.6,1.82,133610194,133610430,28.00934,133610233,133610365,31.63113,"Promoter",1,133603871,133610291,6421,2,"20643","ENSMUST00000166915","7",0,"ENSMUSG00000090553"
"182","chr15",89123097,89123264,168,"*",".",796,".",1.78,1.92,89123102,89123237,28.00934,89123096,89123264,62.09019,"Promoter",15,89098357,89123087,24731,2,"328580","ENSMUST00000109353","8",-10,"ENSMUSG00000051786"
"183","chr3",123385880,123386113,234,"*",".",802,".",1.8,1.93,123385894,123386070,28.00934,123385879,123386113,38.90512,"Promoter",3,123368297,123385931,17635,2,"210529","ENSMUST00000090371","13",0,"ENSMUSG00000028114"
"184","chr14",52305070,52305229,160,"*",".",701,".",1.42,1.69,52305105,52305229,27.99528,52305069,52305223,28.36758,"Promoter",14,52294841,52305128,10288,2,"56335","ENSMUST00000022767","15",0,"ENSMUSG00000022160"
"185","chr14",63543929,63544116,188,"*",".",811,".",1.83,1.95,63543974,63544100,27.99528,63543928,63544116,46.10226,"Promoter",14,63523477,63543982,20506,2,"210376","ENSMUST00000058679","6",0,"ENSMUSG00000035078"
"186","chr17",25844503,25844634,132,"*",".",807,".",1.82,1.95,25844502,25844617,27.99528,25844502,25844634,43.91402,"Promoter",17,25842252,25844525,2274,2,"214952","ENSMUST00000176709","1",0,"ENSMUSG00000025733"
"187","chr2",91070224,91070496,273,"*",".",803,".",1.8,1.93,91070225,91070496,27.99528,91070223,91070482,53.52512,"Promoter",2,91061791,91070229,8439,2,"68427","ENSMUST00000079976","9",0,"ENSMUSG00000002105"
"188","chr2",132815989,132816213,225,"*",".",800,".",1.79,1.93,132815988,132816209,27.99528,132815994,132816213,38.59873,"Promoter",2,132816141,132843895,27755,1,"66634","ENSMUST00000028831","14",0,"ENSMUSG00000027353"
"189","chr2",151008967,151009505,539,"*",".",805,".",1.82,1.94,151008999,151009504,27.99528,151008966,151009505,42.57069,"Promoter",2,150934519,151009398,74880,2,"78177","ENSMUST00000109896","7",0,"ENSMUSG00000068115"
"190","chr4",45320556,45320687,132,"*",".",779,".",1.72,1.88,45320555,45320681,27.99528,45320559,45320687,34.85691,"Promoter",4,45316613,45320629,4017,2,"66362","ENSMUST00000030003","9",0,"ENSMUSG00000028322"
"191","chr4",135972545,135972725,181,"*",".",734,".",1.52,1.77,135972577,135972725,27.99528,135972544,135972710,29.70004,"Promoter",4,135968224,135972626,4403,2,"26394","ENSMUST00000067567","4",0,"ENSMUSG00000028670"
"192","chr4",155095213,155095643,431,"*",".",805,".",1.81,1.94,155095371,155095502,27.99528,155095212,155095643,46.62845,"Intron (ENSMUST00000132367.7/76866, intron 6 of 9)",4,155102194,155129214,27021,1,"76866","ENSMUST00000151710","7",-6551,"ENSMUSG00000029049"
"193","chr5",35575010,35575167,158,"*",".",756,".",1.62,1.82,35575021,35575157,27.99528,35575009,35575167,32.18621,"Promoter",5,35556203,35575070,18868,2,"78890","ENSMUST00000030980","11",0,"ENSMUSG00000029097"
"194","chr5",142895195,142895309,115,"*",".",746,".",1.58,1.8,142895195,142895306,27.99528,142895194,142895309,30.93719,"Promoter",5,142871789,142895238,23450,2,"231863","ENSMUST00000035985","7",0,"ENSMUSG00000066640"
"195","chr5",143817628,143817867,240,"*",".",782,".",1.73,1.89,143817678,143817867,27.99528,143817627,143817867,35.30288,"Promoter",5,143817788,143904251,86464,1,"15467","ENSMUST00000100487","5",0,"ENSMUSG00000029613"
"196","chr6",125039582,125039932,351,"*",".",782,".",1.72,1.88,125039581,125039899,27.99528,125039585,125039932,35.30288,"Promoter",6,125039760,125049002,9243,1,"28019","ENSMUST00000140131","7",0,"ENSMUSG00000030330"
"197","chr18",46597474,46597696,223,"*",".",791,".",1.76,1.91,46597480,46597688,27.73021,46597473,46597696,37.29482,"Promoter",18,46585939,46597516,11578,2,"66676","ENSMUST00000143178","1",0,"ENSMUSG00000033184"
"198","chr17",25823523,25823698,176,"*",".",799,".",1.79,1.93,25823527,25823698,27.65715,25823522,25823689,52.7806,"Promoter",17,25823627,25828730,5104,1,"268933","ENSMUST00000026833","5",0,"ENSMUSG00000025737"
"199","chr11",86683769,86684111,343,"*",".",772,".",1.68,1.86,86683786,86684102,27.5328,86683768,86684111,34.37568,"Promoter",11,86683985,86692457,8473,1,"217057","ENSMUST00000108021","1",0,"ENSMUSG00000072582"
"200","chr13",46727950,46728126,177,"*",".",797,".",1.78,1.92,46727949,46728126,27.5328,46727953,46728110,38.61077,"Promoter",13,46679905,46727940,48036,2,"218210","ENSMUST00000021803","9",-10,"ENSMUSG00000021374"
"201","chr4",143412621,143412996,376,"*",".",788,".",1.75,1.9,143412782,143412978,27.5328,143412620,143412996,36.77415,"Promoter",4,143412972,143416842,3871,1,"242736","ENSMUST00000132915","1",0,"ENSMUSG00000046862"
"202","chr14",51884822,51885005,184,"*",".",584,".",0.97,1.41,51884858,51885000,41.17134,51884821,51885005,27.33109,"Promoter",14,51884842,51891868,7027,1,"52535","ENSMUST00000047899","12",0,"ENSMUSG00000004561"
"203","chr7",143069031,143069310,280,"*",".",776,".",1.71,1.87,143069043,143069310,27.17234,143069030,143069303,34.71858,"Promoter",7,143069249,143071093,1845,1,"56844","ENSMUST00000060433","9",0,"ENSMUSG00000045752"
"204","chr10",128459030,128459387,358,"*",".",803,".",1.8,1.94,128459089,128459304,27.06373,128459029,128459387,45.26667,"Promoter",10,128459248,128490482,31235,1,"68094","ENSMUST00000218228","1",0,"ENSMUSG00000025369"
"205","chr6",120363740,120364241,502,"*",".",780,".",1.72,1.88,120364007,120364241,27.00752,120363739,120364189,60.71029,"Promoter",6,120364124,120419473,55350,1,"214899","ENSMUST00000135802","7",0,"ENSMUSG00000030180"
"206","chr11",43433671,43433873,203,"*",".",795,".",1.78,1.92,43433688,43433782,26.74507,43433670,43433873,45.08891,"Promoter",11,43433744,43438276,4533,1,"193116","ENSMUST00000126128","7",0,"ENSMUSG00000020409"
"207","chr13",73937702,73937926,225,"*",".",688,".",1.35,1.66,73937732,73937857,26.74507,73937701,73937926,27.24944,"Promoter",13,73937811,73960894,23084,1,"105246","ENSMUST00000222399","1",0,"ENSMUSG00000057649"
"208","chr17",35235783,35236003,221,"*",".",778,".",1.72,1.88,35235783,35235951,26.74507,35235782,35236003,35.30288,"Promoter",17,35220175,35235792,15618,2,"18038","ENSMUST00000048994","6",0,"ENSMUSG00000042419"
"209","chr2",167421589,167421728,140,"*",".",798,".",1.78,1.92,167421625,167421728,26.74507,167421588,167421724,43.91402,"Promoter",2,167421712,167477000,55289,1,"77031","ENSMUST00000047815","12",0,"ENSMUSG00000039463"
"210","chr4",137989450,137990017,568,"*",".",790,".",1.75,1.9,137989466,137989962,26.74507,137989449,137990017,53.56791,"Distal Intergenic",4,137993022,138105419,112398,1,"230861","ENSMUST00000139759","7",-3005,"ENSMUSG00000028760"
"211","chr4",139380395,139380672,278,"*",".",798,".",1.79,1.92,139380538,139380671,26.74507,139380394,139380672,41.23689,"Promoter",4,139380659,139489530,108872,1,"69116","ENSMUST00000165860","7",0,"ENSMUSG00000066036"
"212","chr4",155624569,155624928,360,"*",".",794,".",1.77,1.91,155624596,155624928,26.74507,155624568,155624928,45.26667,"Promoter",4,155608300,155624755,16456,2,"100502734","ENSMUST00000137752","1",0,"ENSMUSG00000086682"
"213","chr5",110653361,110653495,135,"*",".",790,".",1.76,1.9,110653374,110653488,26.74507,110653360,110653495,37.69499,"Promoter",5,110648418,110653417,5000,2,"100608","ENSMUST00000042147","5",0,"ENSMUSG00000033294"
"214","chr5",140648898,140649240,343,"*",".",787,".",1.75,1.9,140648897,140649199,26.74507,140648920,140649240,52.16317,"Promoter",5,140620578,140649025,28448,2,"78339","ENSMUST00000197452","4",0,"ENSMUSG00000036565"
"215","chr7",45016327,45016505,179,"*",".",786,".",1.74,1.9,45016358,45016502,26.74507,45016326,45016505,37.29482,"Promoter",7,45002948,45016363,13416,2,"233208","ENSMUST00000085383","10",0,"ENSMUSG00000038406"
"216","chr8",84856851,84857044,194,"*",".",800,".",1.79,1.93,84856905,84857026,26.74507,84856850,84857044,42.57069,"Promoter",8,84856989,84869257,12269,1,"66590","ENSMUST00000003906","12",0,"ENSMUSG00000003808"
"217","chr8",109565597,109565999,403,"*",".",742,".",1.56,1.79,109565624,109565999,26.74507,109565596,109565993,30.63726,"Promoter",8,109565892,109574051,8160,1,"234723","ENSMUST00000034159","7",0,"ENSMUSG00000031723"
"218","chr9",20888117,20888313,197,"*",".",760,".",1.63,1.83,20888116,20888268,26.74507,20888147,20888313,32.18621,"Promoter",9,20888175,20892178,4004,1,"235036","ENSMUST00000004203","5",0,"ENSMUSG00000004100"
"219","chr15",25984149,25984614,466,"*",".",618,".",1.09,1.49,25984248,25984477,34.46945,25984148,25984614,26.71259,"Promoter",15,25984366,25990464,6099,1,"52521","ENSMUST00000227912","1",0,"ENSMUSG00000052253"
"220","chr11",48816926,48817265,340,"*",".",794,".",1.77,1.91,48816949,48817265,26.71152,48816925,48817194,43.91402,"Promoter",11,48809097,48816953,7857,2,"211007","ENSMUST00000140800","1",0,"ENSMUSG00000040365"
"221","chr19",8735735,8735886,152,"*",".",793,".",1.77,1.91,8735746,8735865,26.51042,8735734,8735886,45.26667,"Promoter",19,8735827,8740618,4792,1,"107071","ENSMUST00000210512","1",0,"ENSMUSG00000042729"
"222","chr18",62548658,62548974,317,"*",".",791,".",1.76,1.91,62548674,62548974,26.39642,62548657,62548974,39.91283,"Promoter",18,62504155,62548695,44541,2,"107035","ENSMUST00000048688","7",0,"ENSMUSG00000042211"
"223","chr3",146521360,146521533,174,"*",".",783,".",1.73,1.89,146521359,146521497,26.39642,146521377,146521533,36.34469,"Promoter",3,146505956,146521429,15474,2,"70285","ENSMUST00000029838","10",0,"ENSMUSG00000028187"
"224","chr11",115933372,115933651,280,"*",".",640,".",1.18,1.54,115933450,115933651,30.80263,115933371,115933649,26.36116,"Promoter",11,115892595,115933477,40883,2,"170472","ENSMUST00000021097","9",0,"ENSMUSG00000020752"
"225","chr11",6267727,6267975,249,"*",".",650,".",1.22,1.57,6267762,6267967,29.25881,6267726,6267975,26.14284,"Promoter",11,6258919,6267772,8854,2,"52513","ENSMUST00000004507","10",0,"ENSMUSG00000004393"
"226","chr4",94603116,94603532,417,"*",".",660,".",1.25,1.59,94603132,94603333,27.99528,94603115,94603532,26.14284,"Promoter",4,94569167,94603244,34078,2,"18786","ENSMUST00000107107","8",0,"ENSMUSG00000028577"
"227","chr7",12922089,12922361,273,"*",".",638,".",1.17,1.54,12922140,12922356,29.25881,12922088,12922361,26.06316,"Promoter",7,12922290,12926685,4396,1,"20103","ENSMUST00000108539","7",0,"ENSMUSG00000012848"
"228","chr10",115384791,115385042,252,"*",".",599,".",1.03,1.44,115384790,115384992,32.73605,115384793,115385042,26.04858,"Promoter",10,115384959,115432772,47814,1,"216345","ENSMUST00000036044","8",0,"ENSMUSG00000034163"
"229","chr11",69913924,69914069,146,"*",".",642,".",1.19,1.55,69913950,69914069,27.5328,69913923,69914060,26.04858,"Promoter",11,69914050,69916590,2541,1,"56310","ENSMUST00000116358","7",0,"ENSMUSG00000023170"
"230","chr14",75284239,75284402,164,"*",".",625,".",1.12,1.51,75284244,75284400,30.01155,75284238,75284402,26.04858,"Promoter",14,75284373,75344426,60054,1,"67302","ENSMUST00000022577","5",0,"ENSMUSG00000022000"
"231","chr2",167015183,167015365,183,"*",".",623,".",1.11,1.5,167015182,167015307,30.25268,167015199,167015365,26.04858,"Promoter",2,167015193,167034947,19755,1,"228889","ENSMUST00000018143","15",0,"ENSMUSG00000017999"
"232","chr10",24869806,24870059,254,"*",".",773,".",1.69,1.86,24869805,24870034,26.01563,24869858,24870059,55.40521,"Promoter",10,24869986,24913681,43696,1,"70208","ENSMUST00000092646","12",0,"ENSMUSG00000019984"
"233","chr17",15499757,15500005,249,"*",".",786,".",1.74,1.89,15499778,15499976,26.01563,15499756,15500005,49.37863,"Promoter",17,15499888,15504605,4718,1,"21374","ENSMUST00000159197","7",0,"ENSMUSG00000014767"
"234","chr4",124802411,124802616,206,"*",".",642,".",1.19,1.55,124802467,124802604,27.5328,124802410,124802616,25.9879,"Promoter",4,124802549,124820227,17679,1,"17764","ENSMUST00000138807","7",0,"ENSMUSG00000028890"
"235","chr1",172376302,172376724,423,"*",".",588,".",1,1.42,172376310,172376586,33.00936,172376301,172376724,25.8343,"Promoter",1,172376546,172384099,7554,1,"67556","ENSMUST00000052455","3",0,"ENSMUSG00000050229"
"236","chr17",17063940,17064085,146,"*",".",647,".",1.21,1.56,17063968,17064075,26.48875,17063939,17064085,25.8343,"Promoter",17,17064113,17089628,25516,1,"449000","ENSMUST00000127027","1",-28,"ENSMUSG00000096696"
"237","chr10",81605941,81606509,569,"*",".",788,".",1.75,1.9,81606013,81606504,25.83002,81605940,81606509,40.63313,"Promoter",10,81606270,81620703,14434,1,"268319","ENSMUST00000126940","1",0,"ENSMUSG00000074862"
"238","chr12",81485084,81485215,132,"*",".",748,".",1.58,1.8,81485087,81485205,25.5086,81485083,81485215,30.93719,"Promoter",12,81359026,81485110,126085,2,"66272","ENSMUST00000110340","8",0,"ENSMUSG00000091803"
"239","chr17",24895022,24895155,134,"*",".",777,".",1.71,1.87,24895021,24895152,25.5086,24895021,24895155,36.00135,"Promoter",17,24888486,24895055,6570,2,"193838","ENSMUST00000119848","7",0,"ENSMUSG00000073436"
"240","chr17",35979452,35979625,174,"*",".",710,".",1.45,1.71,35979452,35979597,25.5086,35979451,35979625,28.36758,"Promoter",17,35974760,35979526,4767,2,"75210","ENSMUST00000173872","7",0,"ENSMUSG00000038500"
